tag,tagcount,votescount,tagweight,price,userscore,owners,playtime
Indie,5196,278787,54,2.99,0.79,1300000,2.43
Action,3916,443225,113,3.74,0.79,2160000,3.01
Adventure,3363,295864,88,3.74,0.79,2160000,3.26
Singleplayer,2558,268893,105,3.99,0.83,2590000,3.48
Casual,2488,91758,37,2.39,0.77,1300000,2.25
Strategy,1856,169245,91,3.99,0.77,2160000,3.24
Simulation,1656,142832,86,4.99,0.75,1730000,3.30
RPG,1596,188967,118,3.99,0.78,2160000,3.51
Multiplayer,1424,318250,223,3.99,0.79,4320000,3.35
Great Soundtrack,1279,126470,99,4.79,0.87,2590000,4.02
Atmospheric,1115,141901,127,4.49,0.83,4320000,3.54
2D,997,57478,58,2.99,0.86,2160000,3.45
Puzzle,922,43302,47,2.99,0.85,1730000,3.01
Early Access,887,99123,112,6.99,0.73,1300000,1.43
Open World,827,244266,295,4.99,0.78,5190000,4.32
Story Rich,811,106450,131,4.99,0.87,3030000,4.22
Co-op,774,164251,212,3.99,0.8,5620000,4.06
Difficult,754,63272,84,3.99,0.85,2590000,3.31
Shooter,729,158027,217,2.99,0.82,4760000,2.38
Sci-fi,718,78243,109,4.99,0.83,3030000,3.37
First-Person,714,169172,237,4.49,0.8,5190000,2.56
Horror,688,81115,118,3.24,0.79,2590000,3.09
Anime,671,47862,71,2.99,0.86,1300000,3.59
VR,671,12103,18,4.99,0.78,860000,0.34
Pixel Graphics,667,45132,68,3.49,0.86,1730000,3.30
Funny,660,76688,116,3.49,0.86,3460000,3.29
Fantasy,628,58611,93,3.74,0.82,2590000,4.13
Platformer,619,42543,69,3.39,0.84,1730000,2.59
Free to Play,615,190441,310,0,0.76,2160000,0.32
Female Protagonist,610,40970,67,3.99,0.85,1730000,4.03
FPS,597,171005,286,3.31,0.79,6050000,2.33
Survival,572,166451,291,4.99,0.76,4320000,3.56
Gore,560,47198,84,3.74,0.8,3890000,3.39
Violent,523,27890,53,3.99,0.76,2160000,3.11
Sandbox,496,126587,255,5.99,0.8,4760000,5.11
Retro,460,17458,38,2.99,0.86,1730000,3.03
Comedy,452,60118,133,2.99,0.88,3030000,3.41
Arcade,447,14935,33,2.99,0.82,1730000,3.24
Classic,438,34332,78,3.74,0.88,3460000,3.02
Nudity,411,32326,79,2.99,0.82,1730000,3.46
Third Person,405,82638,204,4.99,0.8,6050000,4.13
Massively Multiplayer,391,63828,163,0,0.7,5190000,1.29
Exploration,376,63473,169,4.99,0.8,3460000,3.53
Point & Click,368,20413,55,2.99,0.84,1300000,3.00
Visual Novel,365,22309,61,3.99,0.87,1300000,4.05
Turn-Based,359,26904,75,4.99,0.82,1730000,4.07
Space,348,39393,113,4.99,0.78,1730000,3.37
Sports,347,15952,46,4.99,0.75,1730000,1.11
Rogue-like,338,23403,69,4.99,0.84,1510000,3.39
Cute,322,22574,70,3.99,0.9,2160000,4.09
Tactical,319,56287,176,3.99,0.81,4320000,3.46
Racing,310,31355,101,3.99,0.77,2160000,2.17
Psychological Horror,305,25322,83,3.39,0.82,2160000,2.45
Online Co-Op,294,76958,262,2.99,0.82,8650000,4.09
Zombies,281,78326,279,3.99,0.79,4320000,3.19
Family Friendly,274,12778,47,2.99,0.85,2160000,3.04
Sexual Content,272,17972,66,2.99,0.84,1300000,3.02
Local Co-Op,266,17651,66,4.79,0.86,3030000,4.04
Local Multiplayer,260,11427,44,4.99,0.85,2590000,3.59
Controller,256,9189,36,3.74,0.85,4760000,3.42
Replay Value,244,26125,107,4.99,0.86,3460000,4.11
Memes,243,16056,66,2.49,0.84,2590000,3.13
Building,233,61669,265,7.99,0.76,2590000,5.59
RTS,220,22840,104,3.99,0.82,3030000,5.02
Fast-Paced,218,17439,80,3.99,0.86,2590000,2.37
Side Scroller,218,9201,42,3.99,0.86,2590000,4.02
Crafting,217,71752,331,7.24,0.74,3670000,4.38
Turn-Based Strategy,216,20679,96,4.99,0.8,2160000,3.57
Action RPG,211,30893,146,4.49,0.81,5190000,5.09
Mystery,209,12795,61,3.36,0.85,1300000,3.27
Shoot 'Em Up,207,5852,28,2.99,0.85,1300000,2.44
Dark,205,25704,125,3.74,0.86,3460000,3.30
Survival Horror,204,37045,182,4.96,0.8,4320000,3.24
Management,203,15267,75,6.99,0.76,1730000,5.15
Hack and Slash,200,21608,108,4.99,0.79,3890000,5.05
Physics,199,23425,118,4.99,0.84,3030000,3.00
War,194,33307,172,4.99,0.81,6050000,5.27
Historical,192,25124,131,4.99,0.82,3460000,5.03
Stealth,189,47850,253,4.99,0.83,5620000,4.02
Rogue-lite,181,7533,42,4.99,0.83,1730000,3.21
PvP,172,46524,270,0,0.69,7780000,2.09
Realistic,169,32659,193,7.99,0.79,3890000,4.35
Short,168,9979,59,2.49,0.84,3890000,2.56
Relaxing,163,9081,56,1.99,0.81,2590000,2.57
Moddable,162,47173,291,4.99,0.9,8000000,5.54
RPGMaker,161,4256,26,1.94,0.81,1730000,3.33
Isometric,161,8681,54,4.99,0.83,2160000,3.46
Bullet Hell,158,10569,67,3.99,0.86,1300000,3.29
Third-Person Shooter,158,43663,276,2.99,0.77,9290000,3.21
Walking Simulator,157,16984,108,4.24,0.75,3030000,2.54
Top-Down,155,7815,50,3.74,0.84,2590000,3.51
Colorful,153,9004,59,4.83,0.87,3030000,2.49
Dungeon Crawler,152,10319,68,4.99,0.81,1300000,4.08
Fighting,150,17312,115,4.99,0.82,2160000,4.09
JRPG,149,12670,85,7.49,0.85,1730000,5.08
Mature,147,31548,215,3.99,0.85,2590000,4.10
Puzzle-Platformer,146,4244,29,3.99,0.85,1730000,2.35
Competitive,143,32014,224,3.61,0.82,5190000,2.21
Procedural Generation,139,8509,61,4.99,0.83,1300000,3.33
Post-apocalyptic,138,41749,303,4.99,0.79,4760000,4.03
Medieval,138,23412,170,3.99,0.82,4760000,4.36
Character Customization,136,18761,138,3.99,0.82,5400000,5.52
Tower Defense,135,9960,74,3.99,0.77,2160000,3.37
Military,131,26752,204,4.24,0.85,5620000,4.38
Choices Matter,129,24219,188,3.74,0.9,1950000,5.07
4 Player Local,126,4635,37,4.99,0.84,1950000,2.20
MMORPG,122,16822,138,0,0.7,5190000,2.23
Turn-Based Combat,121,5348,44,6.11,0.81,1300000,4.02
Beat 'em up,121,6673,55,5.79,0.83,3460000,4.38
Base-Building,120,18258,152,7.74,0.78,2590000,5.52
Hidden Object,119,2462,21,3.06,0.76,860000,3.28
VR Only,118,118,1,7.99,0.82,860000,0.31
Cyberpunk,117,11570,99,4.49,0.83,2590000,3.24
Metroidvania,115,7672,67,4.99,0.85,2160000,4.11
